text,affect
i prepare to celebrate my th birthday i feel absolutely terrific,happiness
i feel content and peaceful,happiness
i feel as if i should write about something to enlighten you or change your perspective on how you should treat people or something like that but i m not smart in that way,happiness
i do not know what it is like to feel safe,happiness
i feel more socially and emotionally intelligent,happiness
i understand that there is a place for support groups and rants and anger but there needs to be room for something else and i no longer feel particularly accepted there,happiness
i honestly feel i could have an intelligent conversation with this guy if he would acknowledge that he s brilliant instead of lowering himself to fit in with his peers,happiness
im quite sure im also selfish mean and cowardly but i know with great sorrow that to the best of my knowledge i try to do whats decent and kind and will make someone else feel valued,happiness
i really cant shake the feeling that im receiving some divine intervention in the form of an ass kicking,happiness
i have the option to play music for reading the paper working out waking up or feeling confident,happiness
i wanted to do was slide my window open and feel the cool night air on my face but i couldnt,happiness
i feel as if only in the last few years have i really started tapping into my artistic voice whatever that really is,happiness
i feeling utterly smug thinking that the kids are finally old enough to be reasoned with to help around the house,happiness
i feared i felt just as shitty as he was feeling back in the day and i was determined to do something about it,happiness
i feel that it is so vital to make these children as comfortable as possible and help have a smooth transition,happiness
i want it out in the open because partly i feel like im hiding something which i guess i am although ive dropped hints as in commenting on how gorgeous certain loverly ladies on tv are it took ive always asked for perfume for christmas but not got any to actually get some perfume for christmas,happiness
i feel this book is helping my daughter learn to be eco friendly but i have been reading it aloud to my not so eco family and im quite sure a bit of it is sinking in,happiness
i woke up today feeling glad im still alive,happiness
i also feel so blessed to s l o w l y be able to take what i do on a daily basis and share it with the world via my blog and tpt store,happiness
i feel like im being left out by my batch mates who are now very successful in their chosen career,happiness
i feel like there is so much competition lately the atmosphere hasnt been very friendly its like everyone is trying to climb on top of everyone else of course not with everyone,happiness
i cannot stress enough the rewarding feeling from supporting local farms,happiness
id feel a bit calmer a bit more reassured etc,happiness
i feel is very talented with good musical ambition behind them i m really excited with all of the downloads,happiness
i feel thankful that i have surrounded myself with so many influential and honest people,happiness
i also feel that talented and gifted tag students do not receive the same resources and allotment of funds as other demographics that attend public education,happiness
i know that my teaching schedule keeps me feeling very productive being scheduled in general does that for me,happiness
i did wake up this morning feeling more like myself so after days of sloth i was keen to get geared up and head to higher altitudes,happiness
i want my daughters to know this strength to feel confident,happiness
im trying to keep myself from feeling overly jubilant,happiness
i need to work in order to feel useful,happiness
ive smoked weed but i like the feeling of being carefree,happiness
i feel and how appreciative i am,happiness
i want to feel rich,happiness
i feel valued in all aspects concluded nolito,happiness
i still feel useful and thats the way i like it reluctant as i am to admit the fact,happiness
i feel so honoured to be featured today and its a dream come true for me,happiness
i can feel her respond with an innocent childs smile,happiness
i feel blessed that the lord has such great plans for me,happiness
i wrote this blog with words and terms that are not commonly used in everyday conversation and its not because i feel i am any more intelligent than anyone else but because i feel that sometimes using language that is uncommonly used gets a reader to pay more attention,happiness
i hope you are feeling as festive as i am,happiness
im feeling very glad that i had the surgery and very grateful that i have a supportive family and friends to help me through this,happiness
i have a feeling we will be glad for some insulated walls even if they do compromise the views,happiness
i feel lucky because even though i will probably have to accept a job with a salary which is much lower than it should be for my level of qualification i just feel lucky to have work,happiness
i am feeling more optimistic and we shall see how things go in a couple of weeks when i go back to my ophthalmologist,happiness
i feel the sidebar is vital to a blog,happiness
im feeling the love and am excited to see who wins this election,happiness
i mean its how i feel but some things that are truthful you cant just say to people,happiness
i feel that our relationship is casual enough for me to break up with my job over the phone instead of in person,happiness
i just didn t feel very well,happiness
i am feeling very pleased with myself,happiness
i feel very honoured to be in the design team here and i am looking forward to see all the beautiful pages you create,happiness
i feel as though this cuff should come with a warning but wow is it fabulous,happiness
i feel like if you shop smart you can still add a few things here and there to your wardrobe without breaking the bank,happiness
i left our coffee date feeling so appreciative that she fully enjoyed the session but even more grateful for all the amazing moms i have met over the past six months,happiness
i feel very satisfied when everything seems to come together over the entirety of a lap,happiness
i feel more adventurous i apply this shimmery light brown colour in my eyes crease for more definition,happiness
id have good days weeks months but i kept feeling like it cant last life cant be this sweet,happiness
i have been feeling pretty creative lately pulling out my fall and halloween stamps tends to do that me,happiness
i woke up in the morning feeling very happy,happiness
i also realised that if i spent all my life joyfully then perhaps i would get jaded and not feel so joyful anymore,happiness
i feel friendly on friday,happiness
i still enjoyed it and feel that its a useful addition to the civil war canon,happiness
i truly feel amazing right now and im making no apologies about it,happiness
i wonder how the fishers would feel about people going up there taking up valuable space for just sitting and reading,happiness
i am the number one cheerleader of color and think that every person should have one shade that makes them feel amazing and no neutrals like tan gray and black do not count,happiness
i feel rich to know and get to work with so many wonderful talented kind and beautiful people,happiness
